trial_number,epochs,activation_function,optimizer,num_layers,dropout,val_accuracy,val_loss,units_layer_1,units_layer_2,units_layer_3
44,50,sigmoid,rmsprop,2,0.1,0.9760000109672546,0.0999564528465271,128,96,
25,50,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10398683696985245,64,64,96
17,50,sigmoid,rmsprop,1,0.1,0.9760000109672546,0.10175234824419022,128,,
22,50,sigmoid,adam,3,0.30000000000000004,0.9760000109672546,0.11264331638813019,96,128,96
26,50,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10615289211273193,128,96,128
00,50,sigmoid,rmsprop,3,0.30000000000000004,0.9760000109672546,0.11981214582920074,32,32,32
23,50,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.10587924718856812,96,,
42,50,sigmoid,adam,2,0.1,0.972000002861023,0.1607564389705658,64,32,
48,50,sigmoid,adam,3,0.1,0.972000002861023,0.10688656568527222,32,128,64
10,50,sigmoid,rmsprop,2,0.2,0.972000002861023,0.1370244175195694,96,32,
40,50,sigmoid,adam,1,0.5,0.972000002861023,0.12369442731142044,128,,
41,50,sigmoid,adam,2,0.30000000000000004,0.972000002861023,0.12901322543621063,32,128,
08,50,sigmoid,adam,1,0.5,0.972000002861023,0.12283144146203995,96,,
36,50,sigmoid,rmsprop,3,0.5,0.972000002861023,0.14263875782489777,128,64,32
16,50,sigmoid,rmsprop,1,0.1,0.972000002861023,0.12966515123844147,96,,
30,50,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.15809766948223114,96,,
28,50,sigmoid,rmsprop,2,0.30000000000000004,0.972000002861023,0.12870575487613678,64,32,
15,50,sigmoid,adam,2,0.30000000000000004,0.9679999947547913,0.13636480271816254,96,128,
06,50,sigmoid,rmsprop,3,0.5,0.9679999947547913,0.13875779509544373,128,128,64
49,50,sigmoid,sgd,1,0.5,0.9359999895095825,0.4033695161342621,64,,
44,60,sigmoid,rmsprop,2,0.1,0.9760000109672546,0.0999564528465271,128,96,
25,60,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10398683696985245,64,64,96
17,60,sigmoid,rmsprop,1,0.1,0.9760000109672546,0.10175234824419022,128,,
22,60,sigmoid,adam,3,0.30000000000000004,0.9760000109672546,0.11264331638813019,96,128,96
26,60,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10615289211273193,128,96,128
00,60,sigmoid,rmsprop,3,0.30000000000000004,0.9760000109672546,0.11981214582920074,32,32,32
23,60,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.10587924718856812,96,,
42,60,sigmoid,adam,2,0.1,0.972000002861023,0.1607564389705658,64,32,
48,60,sigmoid,adam,3,0.1,0.972000002861023,0.10688656568527222,32,128,64
10,60,sigmoid,rmsprop,2,0.2,0.972000002861023,0.1370244175195694,96,32,
40,60,sigmoid,adam,1,0.5,0.972000002861023,0.12369442731142044,128,,
41,60,sigmoid,adam,2,0.30000000000000004,0.972000002861023,0.12901322543621063,32,128,
08,60,sigmoid,adam,1,0.5,0.972000002861023,0.12283144146203995,96,,
36,60,sigmoid,rmsprop,3,0.5,0.972000002861023,0.14263875782489777,128,64,32
16,60,sigmoid,rmsprop,1,0.1,0.972000002861023,0.12966515123844147,96,,
30,60,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.15809766948223114,96,,
28,60,sigmoid,rmsprop,2,0.30000000000000004,0.972000002861023,0.12870575487613678,64,32,
15,60,sigmoid,adam,2,0.30000000000000004,0.9679999947547913,0.13636480271816254,96,128,
06,60,sigmoid,rmsprop,3,0.5,0.9679999947547913,0.13875779509544373,128,128,64
49,60,sigmoid,sgd,1,0.5,0.9359999895095825,0.4033695161342621,64,,
44,70,sigmoid,rmsprop,2,0.1,0.9760000109672546,0.0999564528465271,128,96,
25,70,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10398683696985245,64,64,96
17,70,sigmoid,rmsprop,1,0.1,0.9760000109672546,0.10175234824419022,128,,
22,70,sigmoid,adam,3,0.30000000000000004,0.9760000109672546,0.11264331638813019,96,128,96
26,70,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10615289211273193,128,96,128
00,70,sigmoid,rmsprop,3,0.30000000000000004,0.9760000109672546,0.11981214582920074,32,32,32
23,70,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.10587924718856812,96,,
42,70,sigmoid,adam,2,0.1,0.972000002861023,0.1607564389705658,64,32,
48,70,sigmoid,adam,3,0.1,0.972000002861023,0.10688656568527222,32,128,64
10,70,sigmoid,rmsprop,2,0.2,0.972000002861023,0.1370244175195694,96,32,
40,70,sigmoid,adam,1,0.5,0.972000002861023,0.12369442731142044,128,,
41,70,sigmoid,adam,2,0.30000000000000004,0.972000002861023,0.12901322543621063,32,128,
08,70,sigmoid,adam,1,0.5,0.972000002861023,0.12283144146203995,96,,
36,70,sigmoid,rmsprop,3,0.5,0.972000002861023,0.14263875782489777,128,64,32
16,70,sigmoid,rmsprop,1,0.1,0.972000002861023,0.12966515123844147,96,,
30,70,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.15809766948223114,96,,
28,70,sigmoid,rmsprop,2,0.30000000000000004,0.972000002861023,0.12870575487613678,64,32,
15,70,sigmoid,adam,2,0.30000000000000004,0.9679999947547913,0.13636480271816254,96,128,
06,70,sigmoid,rmsprop,3,0.5,0.9679999947547913,0.13875779509544373,128,128,64
49,70,sigmoid,sgd,1,0.5,0.9359999895095825,0.4033695161342621,64,,
44,80,sigmoid,rmsprop,2,0.1,0.9760000109672546,0.0999564528465271,128,96,
25,80,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10398683696985245,64,64,96
17,80,sigmoid,rmsprop,1,0.1,0.9760000109672546,0.10175234824419022,128,,
22,80,sigmoid,adam,3,0.30000000000000004,0.9760000109672546,0.11264331638813019,96,128,96
26,80,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10615289211273193,128,96,128
00,80,sigmoid,rmsprop,3,0.30000000000000004,0.9760000109672546,0.11981214582920074,32,32,32
23,80,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.10587924718856812,96,,
42,80,sigmoid,adam,2,0.1,0.972000002861023,0.1607564389705658,64,32,
48,80,sigmoid,adam,3,0.1,0.972000002861023,0.10688656568527222,32,128,64
10,80,sigmoid,rmsprop,2,0.2,0.972000002861023,0.1370244175195694,96,32,
40,80,sigmoid,adam,1,0.5,0.972000002861023,0.12369442731142044,128,,
41,80,sigmoid,adam,2,0.30000000000000004,0.972000002861023,0.12901322543621063,32,128,
08,80,sigmoid,adam,1,0.5,0.972000002861023,0.12283144146203995,96,,
36,80,sigmoid,rmsprop,3,0.5,0.972000002861023,0.14263875782489777,128,64,32
16,80,sigmoid,rmsprop,1,0.1,0.972000002861023,0.12966515123844147,96,,
30,80,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.15809766948223114,96,,
28,80,sigmoid,rmsprop,2,0.30000000000000004,0.972000002861023,0.12870575487613678,64,32,
15,80,sigmoid,adam,2,0.30000000000000004,0.9679999947547913,0.13636480271816254,96,128,
06,80,sigmoid,rmsprop,3,0.5,0.9679999947547913,0.13875779509544373,128,128,64
49,80,sigmoid,sgd,1,0.5,0.9359999895095825,0.4033695161342621,64,,
44,90,sigmoid,rmsprop,2,0.1,0.9760000109672546,0.0999564528465271,128,96,
25,90,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10398683696985245,64,64,96
17,90,sigmoid,rmsprop,1,0.1,0.9760000109672546,0.10175234824419022,128,,
22,90,sigmoid,adam,3,0.30000000000000004,0.9760000109672546,0.11264331638813019,96,128,96
26,90,sigmoid,rmsprop,3,0.2,0.9760000109672546,0.10615289211273193,128,96,128
00,90,sigmoid,rmsprop,3,0.30000000000000004,0.9760000109672546,0.11981214582920074,32,32,32
23,90,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.10587924718856812,96,,
42,90,sigmoid,adam,2,0.1,0.972000002861023,0.1607564389705658,64,32,
48,90,sigmoid,adam,3,0.1,0.972000002861023,0.10688656568527222,32,128,64
10,90,sigmoid,rmsprop,2,0.2,0.972000002861023,0.1370244175195694,96,32,
40,90,sigmoid,adam,1,0.5,0.972000002861023,0.12369442731142044,128,,
41,90,sigmoid,adam,2,0.30000000000000004,0.972000002861023,0.12901322543621063,32,128,
08,90,sigmoid,adam,1,0.5,0.972000002861023,0.12283144146203995,96,,
36,90,sigmoid,rmsprop,3,0.5,0.972000002861023,0.14263875782489777,128,64,32
16,90,sigmoid,rmsprop,1,0.1,0.972000002861023,0.12966515123844147,96,,
30,90,sigmoid,rmsprop,1,0.30000000000000004,0.972000002861023,0.15809766948223114,96,,
28,90,sigmoid,rmsprop,2,0.30000000000000004,0.972000002861023,0.12870575487613678,64,32,
15,90,sigmoid,adam,2,0.30000000000000004,0.9679999947547913,0.13636480271816254,96,128,
06,90,sigmoid,rmsprop,3,0.5,0.9679999947547913,0.13875779509544373,128,128,64
49,90,sigmoid,sgd,1,0.5,0.9359999895095825,0.4033695161342621,64,,
